id,category,name,decimalMap,binaryMap
284,NEW,NEW,,00000000 00000000 00000000 00010000 00011000 00000000 00000000 00000000
285,NEW,NEW,,00000000 00000000 00000000 00010000 00001000 00000000 00000000 00000000
286,NEW,NEW,,00000000 00000000 00000000 00010000 00000000 00000000 00000000 00000000
287,NEW,NEW,,00000000 00000000 00000000 00011000 00000000 00000000 00000000 00000000
288,NEW,NEW,,00000000 00000000 00000000 00011000 00001000 00000000 00000000 00000000
289,NEW,NEW,,00000000 00000000 00000000 00010000 00001000 00000000 00000000 00000000
290,NEW,NEW,,00000000 00000000 00000000 00010000 00000000 00000000 00000000 00000000
291,NEW,NEW,,00000000 00000000 00000000 00011000 00001000 00000000 00000000 00000000
292,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
293,NEW,NEW,,00000000 00000000 00000000 00000000 00010000 00000000 00000000 00000000
294,NEW,NEW,,00000000 00000000 00000000 00011000 00000000 00000000 00000000 00000000
295,NEW,NEW,,00000000 00000000 00000000 00011000 00001000 00000000 00000000 00000000
296,NEW,NEW,,00000000 01000010 00000000 00011000 00011000 00000000 01000010 00000000
297,NEW,NEW,,00100100 01000010 00100100 10011001 10011001 00100100 01000010 00100100
298,NEW,NEW,,00000000 01000010 00000000 00000000 00000000 00000000 01000010 00000000
299,NEW,NEW,,00000000 01000010 00100100 00000000 00000000 00100100 01000010 00000000
300,NEW,NEW,,00000000 01000010 00100100 00000000 00000000 00100100 01000010 00000000
